strain,phage,interaction
NILS52,LF82_P8,1
ECOR48,LF82_P8,1
NILS23,LF82_P8,0
ROAR178,LF82_P8,0
ROAR419,LF82_P8,0
H10040017BM,LF82_P8,0
H14,LF82_P8,0
H10030010GJ,LF82_P8,0
ROAR400,LF82_P8,0
ROAR205,LF82_P8,0
BCH953,LF82_P8,0
H10020064EM,LF82_P8,1
NILS49,LF82_P8,0
LM07,LF82_P8,0
H10010027SG,LF82_P8,0
H10050058MA,LF82_P8,0
NILS24,LF82_P8,0
ROAR334,LF82_P8,0
ROAR047,LF82_P8,0
ROAR072,LF82_P8,0
ROAR061,LF82_P8,0
ROAR082,LF82_P8,0
H4,LF82_P8,1
H10010093RA,LF82_P8,0
H48,LF82_P8,1
H47,LF82_P8,0
H70,LF82_P8,0
H10010125BM,LF82_P8,1
ECOR34,LF82_P8,1
ECOR32,LF82_P8,0
ECOR33,LF82_P8,1
ECOR30,LF82_P8,0
ECOR29,LF82_P8,1
LF50,LF82_P8,1
IAI01,LF82_P8,1
ECOR67,LF82_P8,1
NILS02,LF82_P8,1
ECOR26,LF82_P8,0
ECOR27,LF82_P8,1
ECOR28,LF82_P8,1
ECOR45,LF82_P8,1
55989,LF82_P8,1
IAI02,LF82_P8,1
NILS33,LF82_P8,1
IAI21,LF82_P8,1
ECOR69,LF82_P8,0
ECOR58,LF82_P8,1
ECOR72,LF82_P8,0
H10030071CJ,LF82_P8,1
NILS47,LF82_P8,1
H10050012LM,LF82_P8,1
ECOR70,LF82_P8,1
H10070037HD,LF82_P8,0
H10030079GR,LF82_P8,1
H10010131CA,LF82_P8,0
H10030120PR,LF82_P8,1
H10030088BJ,LF82_P8,0
ECOR71,LF82_P8,1
H10020060CT,LF82_P8,0
NILS15,LF82_P8,1
IAI43,LF82_P8,1
H10060022LR,LF82_P8,1
H10030116VR,LF82_P8,0
H10010020MO,LF82_P8,1
H10030090VJ,LF82_P8,1
H10010013LJ,LF82_P8,0
H10030105CR,LF82_P8,0
H10030115LR,LF82_P8,0
PDP110,LF82_P8,0
IAI18,LF82_P8,1
H10070015DG,LF82_P8,0
NILS48,LF82_P8,1
IAI41,LF82_P8,1
H10040021WI,LF82_P8,0
H10020007MM,LF82_P8,1
NILS34,LF82_P8,1
NILS40,LF82_P8,0
H10020011MG,LF82_P8,0
H10010003SJ,LF82_P8,1
IAI42,LF82_P8,1
H10010154TK,LF82_P8,0
PDP351,LF82_P8,1
H10010121QJ,LF82_P8,1
IAI08,LF82_P8,1
H10060003SL,LF82_P8,0
IAI40,LF82_P8,1
IAI37,LF82_P8,1
ECOR11,LF82_P8,0
NILS09,LF82_P8,1
NILS30,LF82_P8,1
NILS32,LF82_P8,1
IAI10,LF82_P8,1
IAI31,LF82_P8,1
IAI04,LF82_P8,1
AN24,LF82_P8,0
NILS06,LF82_P8,0
NILS22,LF82_P8,0
NAN33,LF82_P8,0
IAI34,LF82_P8,1
NIC06,LF82_P8,0
NILS16,LF82_P8,1
IAI17,LF82_P8,1
IAI15,LF82_P8,1
ECOR05,LF82_P8,1
IAI11,LF82_P8,0
NILS35,LF82_P8,0
ECOR10,LF82_P8,0
ECOR43A,LF82_P8,0
ECOR12,LF82_P8,1
IAI14,LF82_P8,0
IAI19,LF82_P8,0
IAI20,LF82_P8,1
ECOR25,LF82_P8,1
IAI26,LF82_P8,0
ECOR01,LF82_P8,0
IAI44,LF82_P8,0
ECOR08,LF82_P8,1
NILS13,LF82_P8,0
IAI07,LF82_P8,0
NILS10,LF82_P8,0
BE,LF82_P8,1
NILS07,LF82_P8,1
ECOR09,LF82_P8,1
NILS14,LF82_P8,0
ECOR13,LF82_P8,1
ECOR03,LF82_P8,1
NILS11,LF82_P8,1
IAI06,LF82_P8,1
ECOR02,LF82_P8,1
IAI13,LF82_P8,1
IAI09,LF82_P8,1
ECOR14,LF82_P8,0
IAI25,LF82_P8,0
IAI22,LF82_P8,1
IAI28,LF82_P8,1
NILS08,LF82_P8,0
ECOR07,LF82_P8,0
IAI29,LF82_P8,1
IAI12,LF82_P8,0
ECOR21,LF82_P8,0
ECOR20,LF82_P8,0
ECOR18,LF82_P8,0
ECOR19,LF82_P8,0
NILS17,LF82_P8,0
NILS12,LF82_P8,1
ECOR06,LF82_P8,0
ECOR23,LF82_P8,0
NILS41,LF82_P8,0
BL21,LF82_P8,0
ECOR17,LF82_P8,0
NILS03,LF82_P8,0
ECOR22,LF82_P8,1
ECOR16,LF82_P8,1
NILS04,LF82_P8,0
ECOR15,LF82_P8,1
NILS43,LF82_P8,1
ECOR04,LF82_P8,1
IAI16,LF82_P8,1
IAI23,LF82_P8,0
NILS37,LF82_P8,1
IAI03,LF82_P8,1
ECOR24,LF82_P8,1
ROAR274,LF82_P8,1
ECOR42,LF82_P8,1
IAI50,LF82_P8,1
ROAR036,LF82_P8,0
EC6230,LF82_P8,1
025010,LF82_P8,1
NILS05,LF82_P8,0
ROAR387,LF82_P8,0
B6A1,LF82_P8,0
ECOR31,LF82_P8,1
LMR3158,LF82_P8,1
ROAR131,LF82_P8,1
ROAR059,LF82_P8,1
EDL933,LF82_P8,0
ECOR37,LF82_P8,1
ROAR029,LF82_P8,1
IAI05,LF82_P8,1
ROAR012,LF82_P8,1
NILS45,LF82_P8,1
H442,LF82_P8,0
E2052,LF82_P8,0
TW10509,LF82_P8,0
